geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US11001001600,"Census Tract 16, District of Columbia, DC",4124,304,3962,284,909,173,2920,337,3,6,10,14,0,12,13,20,107,63,0,12,107,63,162,149,55,54,106,140,0,12,0,12,0,12,0,12,1,2,1,2,0,12
14000US11001001702,"Census Tract 17.02, District of Columbia, DC",2975,255,2676,200,1131,157,1408,183,0,12,63,58,0,12,0,12,74,53,3,7,71,52,299,207,94,82,21,24,0,12,0,12,9,15,175,194,0,12,0,12,0,12
14000US11001001803,"Census Tract 18.03, District of Columbia, DC",3930,402,3261,390,295,134,2712,374,11,19,30,37,0,12,22,36,191,223,11,18,180,222,669,325,66,62,174,148,0,12,0,12,0,12,411,301,18,19,9,14,9,15
14000US11001001804,"Census Tract 18.04, District of Columbia, DC",5576,695,3476,528,190,81,3189,492,30,46,36,97,0,17,0,17,31,33,18,27,13,20,2100,551,1217,560,48,63,0,17,0,17,0,17,816,354,19,31,19,31,0,17
14000US11001001901,"Census Tract 19.01, District of Columbia, DC",3801,512,3347,392,324,120,2897,380,0,12,88,96,0,12,11,18,27,43,0,12,27,43,454,309,204,144,20,31,0,12,0,12,0,12,230,308,0,12,0,12,0,12
14000US11001001902,"Census Tract 19.02, District of Columbia, DC",2245,198,1834,191,160,65,1599,191,8,12,24,18,0,12,0,12,43,33,0,12,43,33,411,127,111,116,17,28,0,12,0,12,0,12,261,147,22,24,7,11,15,22
14000US11001002001,"Census Tract 20.01, District of Columbia, DC",2640,291,1923,348,632,208,1121,226,6,9,94,96,0,12,0,12,70,59,0,12,70,59,717,298,127,75,75,85,80,117,0,12,0,12,428,255,7,14,7,14,0,12
14000US11001002002,"Census Tract 20.02, District of Columbia, DC",3869,470,3034,461,601,239,2216,431,0,12,26,30,0,12,118,116,73,74,6,12,67,74,835,297,282,269,86,128,0,12,0,12,0,12,445,220,22,23,13,19,9,14
14000US11001002101,"Census Tract 21.01, District of Columbia, DC",5713,798,3940,567,222,124,3462,557,0,17,207,142,0,17,0,17,49,45,0,17,49,45,1773,672,364,206,246,254,135,212,0,17,0,17,1028,655,0,17,0,17,0,17
14000US11001002102,"Census Tract 21.02, District of Columbia, DC",4968,542,3653,535,342,129,3236,546,11,14,0,12,0,12,0,12,64,42,0,12,64,42,1315,518,143,112,14,24,0,12,0,12,0,12,1140,513,18,29,18,29,0,12
